Type;District;Rooms;Vacancies;Suites;Area;Value;Condominium;Taxes
Kitchenette;Copacabana;1;0;0;40;1700;500;60
House;Jardim Botânico;2;0;1;100;7000;;
Commercial Set;Barra da Tijuca;0;4;0;150;5200;4020;1111
Apartment;Centro;1;0;0;15;800;390;20
Apartment;Higienópolis;1;0;0;48;800;230;
Apartment;Vista Alegre;3;1;0;70;1200;;
Apartment;Cachambi;2;0;0;50;1300;301;17
Condominuim House;Barra da Tijuca;5;4;5;750;22000;;
Condominuim House;Ramos;2;2;0;65;1000;;
Commercial Set;Centro;0;3;0;695;35000;19193;3030
Apartment;Centro;1;0;0;36;1200;;
Apartment;Grajaú;2;1;0;70;1500;642;74
Apartment;Lins de Vasconcelos;3;1;1;90;1500;455;14
Apartment;Copacabana;1;0;1;40;2000;561;50
Kitchenette;Copacabana;1;0;0;27;1800;501;
Apartment;Copacabana;4;3;1;243;13000;2000;803
Whole Building;Botafogo;0;0;0;536;28000;;3563
Flat;Botafogo;3;1;1;80;3800;1040;
Condominuim House;Taquara;3;1;1;115;2000;;
Apartment;Freguesia (Jacarepaguá);3;0;0;54;950;300;28
Apartment;Barra da Tijuca;2;1;1;67;1700;589;147
Apartment;Tijuca;2;1;0;110;1900;700;138
Condominuim House;Barra da Tijuca;4;3;2;466;7500;2695;
Apartment;Olaria;3;1;0;68;1000;670;
Apartment;Tijuca;2;1;0;78;2000;700;
Flat;Leblon;1;0;0;56;4500;1900;1500
Commercial Set;São Cristóvão;0;1;0;25;1100;600;
Apartment;Ipanema;3;1;1;125;7000;2100;463
Apartment;Tijuca;1;0;0;48;750;772;25
Store/Hall;Campo Grande;0;1;0;35;1300;950;
Apartment;Barra da Tijuca;3;3;1;175;4200;1500;500
House;Campo Grande;4;1;2;400;12000;;
Apartment;Botafogo;2;1;0;76;2500;740;
Apartment;Copacabana;3;1;2;378;10000;2150;700
Apartment;Copacabana;3;0;0;180;5500;1780;420
Commercial Set;Barra da Tijuca;0;1;0;22;700;;
Apartment;Recreio dos Bandeirantes;3;1;1;105;2300;648;
Apartment;Leblon;3;1;0;110;3900;1500;120
Commercial Set;Centro;0;5;0;1306;117540;19486;
Kitchenette;Copacabana;1;0;0;27;1300;380;53
Apartment;Jardim Oceânico;3;3;1;200;3500;1780;496
Apartment;Barra da Tijuca;3;1;2;70;1800;1095;140
Commercial Set;Recreio dos Bandeirantes;0;1;0;50;1500;250;
Apartment;Copacabana;4;1;0;244;5000;2500;4100
Apartment;Barra da Tijuca;3;2;1;110;4500;2000;450
Commercial Set;Centro;0;0;0;460;7500;4797;2019
Commercial Set;Centro;0;0;0;1170;140456;23409;5852
Apartment;Recreio dos Bandeirantes;2;2;2;90;3000;1340;
Apartment;Recreio dos Bandeirantes;3;2;2;100;2600;380;
Apartment;Barra da Tijuca;3;1;1;72;2350;600;70
Apartment;Humaitá;2;2;1;180;4000;2500;300
Apartment;Recreio dos Bandeirantes;3;1;2;92;2300;840;200
Commercial Set;Centro;0;1;0;70;1900;1080;251
Commercial Set;Jardim Botânico;0;1;0;50;4000;1160;200
Apartment;Centro;1;0;0;27;750;371;19
Apartment;Ipanema;1;0;0;35;2000;650;75
Apartment;Ipanema;1;0;0;38;1400;530;77
Apartment;Recreio dos Bandeirantes;2;1;2;83;1600;1160;157
Store/Hall;Copacabana;0;0;0;34;2000;735;
Condominuim House;Barra da Tijuca;5;10;5;1600;25000;1600;
Apartment;Barra da Tijuca;4;3;3;153;6500;2300;434
Commercial Set;Recreio dos Bandeirantes;0;0;0;84;1500;1546;
Apartment;Península;4;3;4;267;18000;3100;400
Apartment;Ipanema;3;1;0;87;3200;1305;217
Apartment;Méier;3;1;0;90;1550;844;80
Apartment;Vargem Pequena;3;1;0;53;1400;385;28
Apartment;Botafogo;3;1;1;108;5950;1405;289
Apartment;Maracanã;2;0;0;86;1800;600;82
Apartment;Recreio dos Bandeirantes;2;1;1;74;1850;675;200
Commercial Set;Méier;0;0;0;32;700;380;56
Apartment;Jacarepaguá;3;1;1;74;1900;556;98
Apartment;Ipanema;3;2;1;150;8000;2400;
Commercial Set;Centro;0;0;0;1;2850;2050;
Apartment;Ipanema;3;1;1;140;7900;2900;500
House;Méier;2;0;0;51;1500;50;
Apartment;Jardim Botânico;2;2;0;95;4000;1170;
Apartment;Barra da Tijuca;2;1;1;70;;970;68
Apartment;Cachambi;2;0;0;60;1000;380;280
Commercial Set;Barra da Tijuca;0;1;0;33;700;1010;56
Commercial Set;Jardim Botânico;0;1;0;24;2500;682;112
Shed/Warehouse;Vargem Grande;0;6;0;2236;40000;;
Commercial Set;Barra da Tijuca;0;1;0;32;850;719;
House;São Conrado;4;2;4;730;28000;2000;12000
Commercial House;Botafogo;0;0;0;140;7000;;137
Shed/Warehouse;Maria da Graça;0;3;0;1000;9800;;820
Condominuim House;Freguesia (Jacarepaguá);5;3;1;140;2500;1200;
Commercial Set;Centro;0;1;0;390;25397;12090;1318
Commercial Set;Centro;0;0;0;320;12000;3740;1541
Apartment;Leblon;2;1;1;80;3500;990;245
Apartment;Barra da Tijuca;4;4;4;240;12700;4400;1440
Apartment;Barra da Tijuca;3;2;1;104;2600;1364;406
Apartment;Vila Valqueire;2;1;0;45;800;280;14
Apartment;Gávea;2;1;0;70;2800;680;98
Apartment;Barra da Tijuca;2;1;1;88;2700;1300;2042
Apartment;Centro;1;1;0;37;1100;540;900
Apartment;Cosme Velho;3;4;0;130;5500;1407;246
Apartment;Bonsucesso;2;1;0;77;1500;740;
Apartment;Barra da Tijuca;3;2;2;85;2500;1400;190
Apartment;Todos os Santos;3;1;1;78;1450;630;73
Apartment;Laranjeiras;2;1;0;54;2300;582;
Kitchenette;Centro;0;0;0;30;800;505;
